,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__n_neighbors,param_base_estimator__p,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
24,1.6503958702087402,0.5540962105319162,2.2201101779937744,0.05160792699219529,2,1,0.1,0.8163464795927031,1000,"OrderedDict([('base_estimator__n_neighbors', 2), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 0.8163464795927031), ('n_estimators', 1000)])",-1.9020610171317935,-2.08607777222752,-2.032310514673497,-2.0068164346776034,0.0772571577055827,2
25,0.585458517074585,0.5300213235658853,0.34495067596435547,0.04102402363493971,9,1,0.6115745206653158,1.0,10,"OrderedDict([('base_estimator__n_neighbors', 9), ('base_estimator__p', 1), ('max_features', 0.6115745206653158), ('max_samples', 1.0), ('n_estimators', 10)])",-1.9031372018115937,-2.1026265285498034,-2.0967135785974502,-2.0341591029862824,0.09267791784762675,15
26,1.3049277464548747,0.5467421884653013,1.6238555113474529,0.01868677899792596,1,1,0.1,0.542524922224205,1000,"OrderedDict([('base_estimator__n_neighbors', 1), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 0.542524922224205), ('n_estimators', 1000)])",-1.902154384820652,-2.088636438087193,-2.0283909851092896,-2.0063939360057113,0.07770367505069148,1
27,9.145471254984537,0.32563008051006614,12.968464533487955,0.12359797341381695,8,1,0.5875332468889757,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 8), ('base_estimator__p', 1), ('max_features', 0.5875332468889757), ('max_samples', 1.0), ('n_estimators', 1000)])",-1.935938433507473,-2.1109235320286106,-2.077297570180328,-2.0413865119054706,0.07581622190502602,18
28,0.5343464215596517,0.5419723432015621,0.21358855565388998,0.060345363242345594,13,1,0.1,0.919901114073247,10,"OrderedDict([('base_estimator__n_neighbors', 13), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 0.919901114073247), ('n_estimators', 10)])",-1.9224137075459866,-2.1271413289876335,-2.0921310109079445,-2.047228682480522,0.08940736013305127,20
29,1.5774550437927246,0.5647307552448891,2.0516791343688965,0.07873484807803964,4,1,0.1,0.7393097642668425,1000,"OrderedDict([('base_estimator__n_neighbors', 4), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 0.7393097642668425), ('n_estimators', 1000)])",-1.9054998034802988,-2.0928482311110352,-2.0549804434795083,-2.017776159356947,0.08088253788357326,9
30,0.6018001238505045,0.5924520999401464,0.40754373868306476,0.03364414896782843,9,1,1.0,0.7470079173318789,10,"OrderedDict([('base_estimator__n_neighbors', 9), ('base_estimator__p', 1), ('max_features', 1.0), ('max_samples', 0.7470079173318789), ('n_estimators', 10)])",-1.9697390942934785,-2.152993723705722,-2.1264677810564665,-2.083066866351889,0.08086323576735467,39
31,0.14496898651123047,0.00656498803428284,0.17544102668762207,0.0001585199693973429,7,1,0.1,1.0,10,"OrderedDict([('base_estimator__n_neighbors', 7), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 10)])",-1.909889083462733,-2.0835540205138185,-2.0623161080405934,-2.018586404005715,0.07734809996146397,10
32,8.344228029251099,0.2375979870443804,11.940688053766886,0.1783607766742931,18,1,0.536015504374916,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 18), ('base_estimator__p', 1), ('max_features', 0.536015504374916), ('max_samples', 1.0), ('n_estimators', 1000)])",-1.9186327690872584,-2.1197856601939145,-2.104919769212356,-2.0477793994978426,0.09152190189047636,21
33,0.5688062508900961,0.5840772664601402,0.21141386032104492,0.053445684472956376,9,1,0.1,1.0,10,"OrderedDict([('base_estimator__n_neighbors', 9), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 10)])",-1.9107052983695652,-2.105088330245232,-2.0774810424711596,-2.031091557028652,0.08586881094634835,13
